Time,Wattage
2024-02-24 17:50:02.6700,1.45
2024-02-24 17:50:02.7160,1.15
2024-02-24 17:50:02.7600,1.4
2024-02-24 17:50:02.8040,1.3
2024-02-24 17:50:02.8490,1.23
2024-02-24 17:50:02.9180,1.43
2024-02-24 17:50:02.9840,1.45
2024-02-24 17:50:03.0770,1.31
2024-02-24 17:50:03.0990,1.58
2024-02-24 17:50:03.1450,1.54
2024-02-24 17:50:03.1690,1.38
2024-02-24 17:50:03.2140,1.42
2024-02-24 17:50:03.2580,1.31
2024-02-24 17:50:03.2980,1.58
2024-02-24 17:50:03.3690,0.902
2024-02-24 17:50:03.4140,1.45
2024-02-24 17:50:03.4910,1.42
2024-02-24 17:50:03.5270,1.64
2024-02-24 17:50:03.5730,1.2
2024-02-24 17:50:03.6630,1.58
2024-02-24 17:50:03.7090,1.4
2024-02-24 17:50:03.7430,1.2
2024-02-24 17:50:03.7760,1.44
2024-02-24 17:50:03.8210,1.23
2024-02-24 17:50:03.8850,1.67
2024-02-24 17:50:03.9310,0.885
2024-02-24 17:50:03.9770,1.66
2024-02-24 17:50:04.0230,0.959
2024-02-24 17:50:04.1100,1.53
2024-02-24 17:50:04.1540,1.31
2024-02-24 17:50:04.1990,1.26
2024-02-24 17:50:04.2220,1.49
2024-02-24 17:50:04.2580,1.51
2024-02-24 17:50:04.3330,1.45
2024-02-24 17:50:04.3800,1.53
2024-02-24 17:50:04.4280,1.51
2024-02-24 17:50:04.4750,0.982
2024-02-24 17:50:04.5130,1.37
2024-02-24 17:50:04.5610,1.21
2024-02-24 17:50:04.6040,1.64
2024-02-24 17:50:04.6520,1.24
2024-02-24 17:50:04.7380,1.77
2024-02-24 17:50:04.8310,1.27
2024-02-24 17:50:04.8430,1.47
2024-02-24 17:50:04.8790,1.55
2024-02-24 17:50:04.9250,1.31
2024-02-24 17:50:04.9650,1.59
2024-02-24 17:50:05.0120,1.22
2024-02-24 17:50:05.0590,1.4
2024-02-24 17:50:05.0980,1.08
2024-02-24 17:50:05.1690,1.95
2024-02-24 17:50:05.2340,1.09
2024-02-24 17:50:05.3270,1.74
2024-02-24 17:50:05.3490,1.33
2024-02-24 17:50:05.3950,1.37
2024-02-24 17:50:05.4180,1.24
2024-02-24 17:50:05.4630,1.21
2024-02-24 17:50:05.5110,1.46
2024-02-24 17:50:05.5490,1.35
2024-02-24 17:50:05.6180,1.56
2024-02-24 17:50:05.6840,1.47
2024-02-24 17:50:05.7300,1.46
2024-02-24 17:50:05.7730,1.5
2024-02-24 17:50:05.8220,1.61
2024-02-24 17:50:05.8640,1.24
2024-02-24 17:50:05.9520,1.26
2024-02-24 17:50:05.9990,1.39
2024-02-24 17:50:06.1100,1.06
2024-02-24 17:50:06.1550,1.49
2024-02-24 17:50:06.2260,1.45
2024-02-24 17:50:06.2480,1.17
2024-02-24 17:50:06.2700,1.22
2024-02-24 17:50:06.3140,1.52
2024-02-24 17:50:06.3620,1.54
2024-02-24 17:50:06.4120,1.49
2024-02-24 17:50:06.4490,1.16
2024-02-24 17:50:06.5080,1.66
2024-02-24 17:50:06.5640,1.45
2024-02-24 17:50:06.6300,1.18
2024-02-24 17:50:06.6780,1.39
2024-02-24 17:50:06.7220,1.64
2024-02-24 17:50:06.7630,1.62
2024-02-24 17:50:06.8540,1.53
2024-02-24 17:50:06.9020,1.32
2024-02-24 17:50:06.9880,1.42
2024-02-24 17:50:07.0320,1.22
2024-02-24 17:50:07.0930,1.13
2024-02-24 17:50:07.1260,1.51
2024-02-24 17:50:07.1820,1.48
2024-02-24 17:50:07.2620,1.71
2024-02-24 17:50:07.2950,1.07
2024-02-24 17:50:07.3180,1.55
2024-02-24 17:50:07.3750,1.21
2024-02-24 17:50:07.4200,1.6
2024-02-24 17:50:07.4840,1.32
2024-02-24 17:50:07.5290,1.92
2024-02-24 17:50:07.5760,1.27
2024-02-24 17:50:07.6180,1.58
2024-02-24 17:50:07.6630,1.64
2024-02-24 17:50:07.7120,1.39
2024-02-24 17:50:07.7580,1.4
2024-02-24 17:50:07.7990,1.02
2024-02-24 17:50:07.8700,1.7
2024-02-24 17:50:07.9140,1.29
2024-02-24 17:50:08.0020,1.87
2024-02-24 17:50:08.0300,1.04
2024-02-24 17:50:08.0910,1.56
2024-02-24 17:50:08.1140,1.43
2024-02-24 17:50:08.1610,1.54
2024-02-24 17:50:08.2050,1.22
2024-02-24 17:50:08.2490,1.43
2024-02-24 17:50:08.3180,1.49
2024-02-24 17:50:08.3820,1.32
2024-02-24 17:50:08.4300,1.64
2024-02-24 17:50:08.4750,1.11
2024-02-24 17:50:08.5200,1.79
2024-02-24 17:50:08.5630,1.16
2024-02-24 17:50:08.6130,1.59
2024-02-24 17:50:08.6570,1.25
2024-02-24 17:50:08.6990,1.39
2024-02-24 17:50:08.7580,1.52
2024-02-24 17:50:08.8340,1.39
2024-02-24 17:50:08.8810,1.45
2024-02-24 17:50:08.9240,1.51
2024-02-24 17:50:09.0140,1.63
2024-02-24 17:50:09.0260,1.13
2024-02-24 17:50:09.1020,1.63
2024-02-24 17:50:09.1460,1.22
2024-02-24 17:50:09.1580,1.45
2024-02-24 17:50:09.2170,1.15
2024-02-24 17:50:09.3300,1.33
2024-02-24 17:50:09.3740,1.45
2024-02-24 17:50:09.4190,1.29
2024-02-24 17:50:09.4640,1.35
2024-02-24 17:50:09.5110,1.63
2024-02-24 17:50:09.5990,1.43
2024-02-24 17:50:09.6120,1.21
2024-02-24 17:50:09.6580,1.66
2024-02-24 17:50:09.7330,1.21
2024-02-24 17:50:09.7810,1.61
2024-02-24 17:50:09.8230,1.28
2024-02-24 17:50:09.8680,1.24
2024-02-24 17:50:09.9130,1.75
2024-02-24 17:50:09.9830,1.35
2024-02-24 17:50:10.0490,1.45
2024-02-24 17:50:10.0710,1.12
2024-02-24 17:50:10.1450,1.48
2024-02-24 17:50:10.1920,1.35
2024-02-24 17:50:10.2300,1.22
2024-02-24 17:50:10.2750,1.45
2024-02-24 17:50:10.3200,1.33
2024-02-24 17:50:10.3630,1.46
2024-02-24 17:50:10.4100,1.55
2024-02-24 17:50:10.4550,1.28
2024-02-24 17:50:10.5000,1.36
2024-02-24 17:50:10.5690,1.6
2024-02-24 17:50:10.6380,1.16
2024-02-24 17:50:10.6810,1.41
2024-02-24 17:50:10.7250,1.16
2024-02-24 17:50:10.8140,1.61
2024-02-24 17:50:10.8370,1.12
2024-02-24 17:50:10.8820,1.68
2024-02-24 17:50:10.9160,1.21
2024-02-24 17:50:10.9510,1.71
2024-02-24 17:50:11.0190,1.18
2024-02-24 17:50:11.0840,1.29
2024-02-24 17:50:11.1300,1.35
2024-02-24 17:50:11.1760,1.39
2024-02-24 17:50:11.2190,1.51
2024-02-24 17:50:11.2650,1.04
2024-02-24 17:50:11.3360,1.75
2024-02-24 17:50:11.3980,1.1
2024-02-24 17:50:11.4210,1.55
2024-02-24 17:50:11.4690,1.37
2024-02-24 17:50:11.5330,1.58
2024-02-24 17:50:11.5800,1.45
2024-02-24 17:50:11.6220,1.86
2024-02-24 17:50:11.6680,1.66
2024-02-24 17:50:11.7140,1.21
2024-02-24 17:50:11.7630,1.48
2024-02-24 17:50:11.8080,1.39
2024-02-24 17:50:11.8480,1.65
2024-02-24 17:50:11.9200,1.22
2024-02-24 17:50:11.9830,1.73
2024-02-24 17:50:12.0300,1.21
2024-02-24 17:50:12.0760,1.69
2024-02-24 17:50:12.1200,1.11
2024-02-24 17:50:12.1640,1.61
2024-02-24 17:50:12.2140,1.32
2024-02-24 17:50:12.2580,1.47
2024-02-24 17:50:12.2990,1.53
2024-02-24 17:50:12.3700,1.52
2024-02-24 17:50:12.4330,1.37
2024-02-24 17:50:12.4810,1.2
2024-02-24 17:50:12.5250,1.46
2024-02-24 17:50:12.5700,1.24
2024-02-24 17:50:12.6610,1.53
2024-02-24 17:50:12.7070,1.19
2024-02-24 17:50:12.7750,1.21
2024-02-24 17:50:12.8200,1.79
2024-02-24 17:50:12.9080,1.5
2024-02-24 17:50:12.9300,1.4
2024-02-24 17:50:12.9730,1.32
2024-02-24 17:50:13.0650,1.49
2024-02-24 17:50:13.0770,1.51
2024-02-24 17:50:13.1530,1.2
2024-02-24 17:50:13.1970,1.71
2024-02-24 17:50:13.2080,1.16
2024-02-24 17:50:13.2580,1.71
2024-02-24 17:50:13.4690,1.33
2024-02-24 17:50:13.4920,1.39
2024-02-24 17:50:13.5140,1.3
2024-02-24 17:50:13.5490,1.45
2024-02-24 17:50:13.5600,1.43
2024-02-24 17:50:13.5820,1.28
2024-02-24 17:50:13.6710,1.45
2024-02-24 17:50:13.6930,1.54
2024-02-24 17:50:13.7280,1.36
2024-02-24 17:50:13.7840,1.59
2024-02-24 17:50:13.8320,1.42
2024-02-24 17:50:13.9640,1.44
2024-02-24 17:50:13.9960,1.34
2024-02-24 17:50:14.0080,1.32
2024-02-24 17:50:14.0760,1.92
2024-02-24 17:50:14.1210,1.27
2024-02-24 17:50:14.1460,1.49
2024-02-24 17:50:14.1910,1.26
2024-02-24 17:50:14.2350,1.59
2024-02-24 17:50:14.3680,1.7
2024-02-24 17:50:14.4030,1.33
2024-02-24 17:50:14.4360,1.41
2024-02-24 17:50:14.4810,1.3
2024-02-24 17:50:14.5140,1.41
2024-02-24 17:50:14.5480,1.49
2024-02-24 17:50:14.6190,1.16
2024-02-24 17:50:14.7070,1.73
2024-02-24 17:50:14.7760,1.17
2024-02-24 17:50:14.7980,1.73
2024-02-24 17:50:14.8320,1.08
2024-02-24 17:50:14.8650,1.5
2024-02-24 17:50:14.9110,1.15
2024-02-24 17:50:14.9570,1.58
2024-02-24 17:50:14.9990,1.13
2024-02-24 17:50:15.0690,1.25
2024-02-24 17:50:15.1340,1.61
2024-02-24 17:50:15.1820,1.4
2024-02-24 17:50:15.2690,1.51
2024-02-24 17:50:15.3030,1.13
2024-02-24 17:50:15.3370,1.7
2024-02-24 17:50:15.4280,1.6
2024-02-24 17:50:15.4510,1.36
2024-02-24 17:50:15.5190,1.65
2024-02-24 17:50:15.6300,1.42
2024-02-24 17:50:15.6750,1.59
2024-02-24 17:50:15.7210,1.5
2024-02-24 17:50:15.7650,1.63
2024-02-24 17:50:15.8540,1.21
2024-02-24 17:50:15.8990,1.58
2024-02-24 17:50:15.9240,1.14
2024-02-24 17:50:16.0430,1.62
2024-02-24 17:50:16.1020,1.1
2024-02-24 17:50:16.1130,1.87
2024-02-24 17:50:16.1690,1.36
2024-02-24 17:50:16.1810,1.49
2024-02-24 17:50:16.2150,1.16
2024-02-24 17:50:16.2640,1.62
2024-02-24 17:50:16.3090,1.48
2024-02-24 17:50:16.3500,1.35
2024-02-24 17:50:16.4190,1.56
2024-02-24 17:50:16.5310,1.05
2024-02-24 17:50:16.5420,1.84
2024-02-24 17:50:16.5760,0.9
2024-02-24 17:50:16.6200,1.78
2024-02-24 17:50:16.6750,1.07
2024-02-24 17:50:16.7120,1.47
2024-02-24 17:50:16.7580,1.3
2024-02-24 17:50:16.7980,1.33
2024-02-24 17:50:16.8580,1.66
2024-02-24 17:50:16.9340,1.27
2024-02-24 17:50:16.9800,1.52
2024-02-24 17:50:17.0250,1.42
2024-02-24 17:50:17.1150,1.58
2024-02-24 17:50:17.1380,1.29
2024-02-24 17:50:17.2040,1.4
2024-02-24 17:50:17.2380,1.37
2024-02-24 17:50:17.2720,1.6
2024-02-24 17:50:17.3190,1.46
2024-02-24 17:50:17.3840,1.69
2024-02-24 17:50:17.4300,1.29
