"Time","D","P","I"
2023-12-13 20:16:40,0,-3233,0
2023-12-13 20:16:41,-1,-3291,0
2023-12-13 20:16:41,0,-3256,0
2023-12-13 20:16:41,0,-3295,0
2023-12-13 20:16:41,2,-3327,0
2023-12-13 20:16:41,-1,-3240,0
2023-12-13 20:16:41,0,-3309,0
2023-12-13 20:16:41,0,-3227,0
2023-12-13 20:16:41,0,-3310,0
2023-12-13 20:16:41,-1,-3240,0
2023-12-13 20:16:41,0,-3301,0
2023-12-13 20:16:41,-1,-3244,0
2023-12-13 20:16:41,0,-3321,0
2023-12-13 20:16:41,0,-3252,0
2023-12-13 20:16:41,1,-3313,0
2023-12-13 20:16:41,-1,-3239,0
2023-12-13 20:16:41,1,-3324,0
2023-12-13 20:16:41,0,-3238,0
2023-12-13 20:16:41,-1,-3293,0
2023-12-13 20:16:41,0,-3256,0
2023-12-13 20:16:42,0,-3299,0
2023-12-13 20:16:42,0,-3262,0
2023-12-13 20:16:42,0,-3297,0
2023-12-13 20:16:42,0,-3255,0
2023-12-13 20:16:42,0,-3299,0
2023-12-13 20:16:42,0,-3258,0
2023-12-13 20:16:42,0,-3303,0
2023-12-13 20:16:42,0,-3247,0
2023-12-13 20:16:42,-1,-3322,0
2023-12-13 20:16:42,-1,-3234,0
2023-12-13 20:16:42,0,-3336,0
2023-12-13 20:16:42,0,-3223,0
2023-12-13 20:16:42,0,-3304,0
2023-12-13 20:16:42,0,-3229,0
2023-12-13 20:16:42,-1,-3322,0
2023-12-13 20:16:42,1,-3247,0
2023-12-13 20:16:42,-1,-3325,0
2023-12-13 20:16:42,0,-3231,0
2023-12-13 20:16:42,-1,-3289,0
2023-12-13 20:16:42,0,-3250,0
2023-12-13 20:16:43,0,-3291,0
2023-12-13 20:16:43,0,-3259,0
2023-12-13 20:16:43,0,-3285,0
2023-12-13 20:16:43,0,-3261,0
2023-12-13 20:16:43,0,-3289,0
2023-12-13 20:16:43,1,-3237,0
2023-12-13 20:16:43,-2,-3348,0
2023-12-13 20:16:43,0,-3248,0
2023-12-13 20:16:43,-1,-3319,0
2023-12-13 20:16:43,0,-3217,0
2023-12-13 20:16:43,-1,-3294,0
2023-12-13 20:16:43,1,-3237,0
2023-12-13 20:16:43,-1,-3320,0
2023-12-13 20:16:43,-1,-3241,0
2023-12-13 20:16:43,-1,-3322,0
