Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
10-Feb-2024 09:27 EST,Qualifier #1,7135P,42442A,26648A,98719A,13,126,Blue
10-Feb-2024 09:31 EST,Qualifier #2,1727R,960W,53A,55618A,70,43,Red
10-Feb-2024 09:35 EST,Qualifier #3,929R,5839B,20096G,934Z,51,119,Blue
10-Feb-2024 09:40 EST,Qualifier #4,960V,1727N,9290B,9039N,47,175,Blue
10-Feb-2024 09:46 EST,Qualifier #5,21078B,5588V,24Z,5525A,83,91,Blue
10-Feb-2024 09:49 EST,Qualifier #6,12699A,21078A,929X,7135J,77,94,Blue
10-Feb-2024 09:52 EST,Qualifier #7,5588E,11555A,53E,5588S,59,33,Red
10-Feb-2024 09:58 EST,Qualifier #8,53C,1727Y,53D,1727K,65,70,Blue
10-Feb-2024 10:02 EST,Qualifier #9,26648B,12768A,5588T,53B,87,89,Blue
10-Feb-2024 10:06 EST,Qualifier #10,5588H,7135S,24K,929T,55,115,Blue
10-Feb-2024 10:11 EST,Qualifier #11,5588P,929S,53F,960B,86,101,Blue
10-Feb-2024 10:14 EST,Qualifier #12,1727B,960X,9290A,7135M,103,97,Red
10-Feb-2024 10:21 EST,Qualifier #13,7135E,18990A,5588B,6274C,79,48,Red
10-Feb-2024 10:25 EST,Qualifier #14,9290C,12699B,5588R,960Z,62,43,Red
10-Feb-2024 10:28 EST,Qualifier #15,55618A,53D,11555A,5839B,59,68,Blue
10-Feb-2024 10:32 EST,Qualifier #16,9039N,24Z,98719A,12768A,130,69,Red
10-Feb-2024 10:36 EST,Qualifier #17,53E,929X,9290B,5588V,71,101,Blue
10-Feb-2024 10:40 EST,Qualifier #18,960B,7135J,7135P,929R,123,86,Red
10-Feb-2024 10:43 EST,Qualifier #19,1727K,7135M,26648B,1727R,21,134,Blue
10-Feb-2024 10:47 EST,Qualifier #20,929S,21078A,960W,960V,77,48,Red
10-Feb-2024 10:51 EST,Qualifier #21,6274C,5588P,12699A,1727B,37,142,Blue
10-Feb-2024 10:55 EST,Qualifier #22,5588T,26648A,1727N,5588B,91,127,Blue
10-Feb-2024 10:59 EST,Qualifier #23,5588S,5525A,5588H,960Z,102,50,Red
10-Feb-2024 11:02 EST,Qualifier #24,934Z,24K,7135E,5588E,65,64,Red
10-Feb-2024 11:05 EST,Qualifier #25,5588R,929T,42442A,53F,110,63,Red
10-Feb-2024 11:08 EST,Qualifier #26,20096G,53A,12699B,18990A,167,52,Red
10-Feb-2024 11:13 EST,Qualifier #27,7135S,9290C,960X,1727Y,82,93,Blue
10-Feb-2024 11:16 EST,Qualifier #28,9290A,53B,53C,21078B,50,96,Blue
10-Feb-2024 11:19 EST,Qualifier #29,12699A,9290B,929R,929S,143,95,Red
10-Feb-2024 11:23 EST,Qualifier #30,5588B,53E,7135J,55618A,97,35,Red
10-Feb-2024 11:27 EST,Qualifier #31,53D,26648B,9039N,960W,99,87,Red
10-Feb-2024 11:30 EST,Qualifier #32,5588S,98719A,21078A,1727B,34,116,Blue
10-Feb-2024 11:34 EST,Qualifier #33,24Z,5588T,5588H,7135E,60,50,Red
