Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
2-Feb-2024 10:30 EST,Qualifier #1,48425A,7316E,53E,9451B,137,57,Red
2-Feb-2024 10:32 EST,Qualifier #2,7316X,53C,53B,99921A,80,33,Red
2-Feb-2024 10:36 EST,Qualifier #3,60883W,53D,20164W,7405K,77,105,Blue
2-Feb-2024 12:02 EST,Qualifier #4,7316N,1575T,169Y,8889A,87,84,Red
2-Feb-2024 10:43 EST,Qualifier #5,53F,46R,4610H,20096G,37,123,Blue
2-Feb-2024 10:46 EST,Qualifier #6,82856A,80708Y,19589A,2068B,115,66,Red
2-Feb-2024 10:53 EST,Qualifier #7,83757A,338A,2011D,169E,62,28,Red
2-Feb-2024 10:54 EST,Qualifier #8,11865A,20164X,9451A,62629P,37,6,Red
2-Feb-2024 10:59 EST,Qualifier #9,53A,26508Z,62629Z,26038D,72,34,Red
2-Feb-2024 11:12 EST,Qualifier #10,1575K,87867D,99921B,50805H,36,97,Blue
2-Feb-2024 11:15 EST,Qualifier #11,62629X,62629K,842T,55286A,94,76,Red
2-Feb-2024 11:18 EST,Qualifier #12,2011K,7316R,9039J,1140D,107,43,Red
2-Feb-2024 11:21 EST,Qualifier #13,80508X,26038F,1575M,26038G,124,74,Red
2-Feb-2024 11:24 EST,Qualifier #14,60883X,11342A,62629W,62629Y,90,74,Red
2-Feb-2024 11:28 EST,Qualifier #15,11342B,1229W,1140R,26571A,69,45,Red
2-Feb-2024 11:31 EST,Qualifier #16,7405R,1575A,7316V,169X,79,85,Blue
2-Feb-2024 11:33 EST,Qualifier #17,7405M,2072X,20164T,47969A,95,77,Red
2-Feb-2024 11:36 EST,Qualifier #18,9451A,4610H,7316N,169E,75,66,Red
2-Feb-2024 11:39 EST,Qualifier #19,8889A,87867D,48425A,53F,117,79,Red
2-Feb-2024 11:43 EST,Qualifier #20,2011D,2011K,7316X,60883W,125,125,None
2-Feb-2024 11:47 EST,Qualifier #21,99921B,62629Z,26038G,7316E,87,45,Red
