Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
27-Jan-2024 09:34 EST,Qualifier #1,7135B,9039V,1727D,3389Y,87,107,Blue
27-Jan-2024 09:38 EST,Qualifier #2,1727R,3389K,5588E,9080C,104,43,Red
27-Jan-2024 09:52 EST,Qualifier #3,9080H,53E,7135J,21146S,128,75,Red
27-Jan-2024 09:56 EST,Qualifier #4,7135S,7135Z,5588B,5839B,94,94,None
27-Jan-2024 10:04 EST,Qualifier #5,1723C,24Z,1727A,1727K,75,81,Blue
27-Jan-2024 10:07 EST,Qualifier #6,3389N,18990A,76763C,5588H,60,53,Red
27-Jan-2024 10:15 EST,Qualifier #7,9039Z,21146P,1723D,1723B,123,46,Red
27-Jan-2024 10:25 EST,Qualifier #8,7135X,1893X,45416B,1723A,63,47,Red
27-Jan-2024 10:29 EST,Qualifier #9,53C,9290B,53F,9039P,140,56,Red
27-Jan-2024 10:36 EST,Qualifier #10,12580A,12768A,9080S,55618A,77,60,Red
27-Jan-2024 10:40 EST,Qualifier #11,1727Y,7135D,842T,53D,65,51,Red
27-Jan-2024 10:50 EST,Qualifier #12,7135M,9080R,2072X,9290C,28,107,Blue
27-Jan-2024 10:54 EST,Qualifier #13,7135E,24K,75368A,9290A,94,80,Red
27-Jan-2024 10:58 EST,Qualifier #14,76763B,76763A,934Z,9039X,95,53,Red
27-Jan-2024 11:02 EST,Qualifier #15,7135P,76763C,9080C,5588B,27,101,Blue
27-Jan-2024 11:08 EST,Qualifier #16,5839B,9039P,7135B,1727A,74,81,Blue
27-Jan-2024 11:12 EST,Qualifier #17,1727K,18990A,1727R,9039V,99,42,Red
27-Jan-2024 11:19 EST,Qualifier #18,12768A,7135Z,7135D,53C,68,135,Blue
27-Jan-2024 11:24 EST,Qualifier #19,9290C,1723B,9080H,55618A,91,120,Blue
27-Jan-2024 11:28 EST,Qualifier #20,1723A,75368A,21146S,3389N,100,82,Red
27-Jan-2024 11:32 EST,Qualifier #21,53F,2072X,53D,9039X,94,82,Red
27-Jan-2024 11:38 EST,Qualifier #22,5588E,7135P,1893X,76763A,52,58,Blue
27-Jan-2024 11:43 EST,Qualifier #23,1727Y,24Z,9039Z,9080R,47,60,Blue
27-Jan-2024 11:47 EST,Qualifier #24,1727D,1723C,12580A,24K,89,111,Blue
27-Jan-2024 11:52 EST,Qualifier #25,934Z,53E,21146P,9290B,45,119,Blue
27-Jan-2024 11:56 EST,Qualifier #26,3389Y,45416B,7135S,7135E,24,53,Blue
27-Jan-2024 12:00 EST,Qualifier #27,842T,5588H,7135M,1723D,127,50,Red
27-Jan-2024 12:23 EST,Qualifier #28,7135J,7135X,76763B,3389K,51,99,Blue
27-Jan-2024 12:27 EST,Qualifier #29,9080S,9290A,7135Z,1727A,136,124,Red
27-Jan-2024 12:32 EST,Qualifier #30,9039P,76763C,9039Z,5588E,9,96,Blue
27-Jan-2024 12:36 EST,Qualifier #31,9080C,1723B,1893X,1727K,62,29,Red
27-Jan-2024 12:41 EST,Qualifier #32,5588B,21146S,18990A,7135B,127,100,Red
