Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
2-Mar-2024 09:37 EST,Qualifier #1,929N,1893C,41001M,24K,62,42,Red
2-Mar-2024 09:41 EST,Qualifier #2,593C,21078A,2528A,53D,71,72,Blue
2-Mar-2024 09:45 EST,Qualifier #3,1893X,7135D,26648A,934Z,90,113,Blue
2-Mar-2024 09:49 EST,Qualifier #4,593A,929T,5839B,21078B,78,70,Red
2-Mar-2024 09:54 EST,Qualifier #5,53E,20096G,24Z,76763A,153,49,Red
2-Mar-2024 10:00 EST,Qualifier #6,21146P,1893A,64840D,9080C,,88,Blue
2-Mar-2024 10:03 EST,Qualifier #7,5588E,53A,12699A,1727B,88,54,Red
2-Mar-2024 10:08 EST,Qualifier #8,53C,1727K,676D,9080R,88,42,Red
2-Mar-2024 10:13 EST,Qualifier #9,64840B,1727R,1727N,9080S,101,35,Red
2-Mar-2024 10:19 EST,Qualifier #10,5588B,9080H,26648B,53F,65,118,Blue
2-Mar-2024 10:24 EST,Qualifier #11,64840C,53B,66852B,676V,48,43,Red
2-Mar-2024 10:27 EST,Qualifier #12,7135S,1727Y,183A,898A,43,85,Blue
2-Mar-2024 10:30 EST,Qualifier #13,1727A,5588H,593B,64840A,90,98,Blue
2-Mar-2024 10:34 EST,Qualifier #14,5525A,21146S,1727D,929S,90,128,Blue
2-Mar-2024 10:38 EST,Qualifier #15,9080C,21078B,929N,53D,122,112,Red
2-Mar-2024 10:43 EST,Qualifier #16,1727B,9080S,593C,9080R,85,114,Blue
2-Mar-2024 10:49 EST,Qualifier #17,26648B,5588E,1893A,64840B,158,41,Red
2-Mar-2024 10:52 EST,Qualifier #18,676D,2528A,64840C,1893C,36,72,Blue
2-Mar-2024 10:56 EST,Qualifier #19,24K,66852B,53C,53E,93,62,Red
2-Mar-2024 11:00 EST,Qualifier #20,26648A,41001M,7135S,53B,43,72,Blue
2-Mar-2024 11:08 EST,Qualifier #21,64840D,183A,24Z,53A,68,90,Blue
2-Mar-2024 11:16 EST,Qualifier #22,929S,934Z,9080H,929T,46,107,Blue
2-Mar-2024 11:20 EST,Qualifier #23,593B,1727N,7135D,21078A,155,55,Red
2-Mar-2024 11:23 EST,Qualifier #24,53F,1727D,5588H,1727R,98,57,Red
2-Mar-2024 11:28 EST,Qualifier #25,64840A,5588B,5525A,593A,63,127,Blue
2-Mar-2024 11:31 EST,Qualifier #26,21146S,1727A,20096G,21146P,76,134,Blue
2-Mar-2024 11:35 EST,Qualifier #27,676V,898A,1727K,1893X,73,82,Blue
2-Mar-2024 11:42 EST,Qualifier #28,12699A,5839B,1727Y,76763A,107,69,Red
2-Mar-2024 11:45 EST,Qualifier #29,24Z,929N,934Z,1727B,72,93,Blue
2-Mar-2024 11:49 EST,Qualifier #30,53D,41001M,929S,53A,18,152,Blue
